"","MISSIONID","REGION","REGION_NAME","ISLAND","ISLANDCODE","REEF_ZONE","DEPTH_BIN","OBS_YEAR","DATE_","NO_SURVEY_YN","SITEVISITID","SITE","DIVER","TRANSECT","SEGMENT","SEGWIDTH","SEGLENGTH","Fragment","COLONYID","SPCODE","MORPHOLOGY","COLONYLENGTH","OLDDEAD","RDEXTENT1","GENRD1","RD1","RDEXTENT2","GENRD2","RD2","GENRD3","RD3","RDEXTENT3","CONDITION_1","CONDITION_2","CONDITION_3","EXTENT_1","EXTENT_2","EXTENT_3","SEVERITY_1","SEVERITY_2","SEVERITY_3","GENUS_CODE","S_ORDER","TAXONNAME","LATITUDE","LONGITUDE","SEC_NAME","ANALYSIS_YEAR","bANALYSIS_SCHEME","MIN_DEPTH_M","MAX_DEPTH_M","TAXONCODE","TRANSECTAREA","SITE_DEPTH"
"11","HA1501","SAMOA","American Samoa","Tutuila","TUT","Forereef","Shallow","2015","2015-03-29 00:00:00",0,8633,"TUT-01723","HB",1,10,1,2.5,NA,440345,"ISSP","Encrusting (mounding)",8,3,0,"","",0,"","","","",0,"BLE","","",97,NA,NA,3,NA,NA,"ISSP","Scleractinia","Isopora sp",-14.28837,-170.562,"TUT_AUNUU_A","2015","BEN_SEC2015",5.486132,6.095703,"ISSP",10,5.7909175
"12","HA1501","SAMOA","American Samoa","Tutuila","TUT","Forereef","Shallow","2015","2015-03-29 00:00:00",0,8633,"TUT-01723","JDG",1,5,1,2.5,NA,440914,"ISSP","Encrusting (mounding)",8,0,0,"","",0,"","","","",0,"BLE","","",70,NA,NA,4,NA,NA,"ISSP","Scleractinia","Isopora sp",-14.28837,-170.562,"TUT_AUNUU_A","2015","BEN_SEC2015",5.486132,6.095703,"ISSP",10,5.7909175
"13","HA1501","SAMOA","American Samoa","Tutuila","TUT","Forereef","Shallow","2015","2015-03-29 00:00:00",0,8633,"TUT-01723","JDG",1,5,1,2.5,NA,440916,"ISSP","Encrusting (mounding)",23,0,0,"","",0,"","","","",0,"BLE","","",10,NA,NA,3,NA,NA,"ISSP","Scleractinia","Isopora sp",-14.28837,-170.562,"TUT_AUNUU_A","2015","BEN_SEC2015",5.486132,6.095703,"ISSP",10,5.7909175
"14","HA1501","SAMOA","American Samoa","Tutuila","TUT","Forereef","Deep","2015","2015-03-28 00:00:00",0,8600,"TUT-01751","BDS",1,15,1,2.5,NA,438642,"ISSP","Plating",14,3,0,"","",0,"","","","",0,"NDZ","","",NA,NA,NA,NA,NA,NA,"ISSP","Scleractinia","Isopora sp",-14.27684,-170.5447,"TUT_AUNUU_B","2015","BEN_SEC2015",20.4206,21.33496,"ISSP",10,20.87778
"15","HA1501","SAMOA","American Samoa","Tutuila","TUT","Forereef","Deep","2015","2015-03-28 00:00:00",0,8600,"TUT-01751","BDS",1,15,1,2.5,NA,438647,"ISSP","Encrusting (mounding)",16,5,0,"","",0,"","","","",0,"NDZ","","",NA,NA,NA,NA,NA,NA,"ISSP","Scleractinia","Isopora sp",-14.27684,-170.5447,"TUT_AUNUU_B","2015","BEN_SEC2015",20.4206,21.33496,"ISSP",10,20.87778
"16","HA1501","SAMOA","American Samoa","Tutuila","TUT","Forereef","Deep","2015","2015-03-28 00:00:00",0,8600,"TUT-01751","BDS",1,15,1,2.5,NA,438648,"ISSP","Encrusting (mounding)",6,0,0,"","",0,"","","","",0,"NDZ","","",NA,NA,NA,NA,NA,NA,"ISSP","Scleractinia","Isopora sp",-14.27684,-170.5447,"TUT_AUNUU_B","2015","BEN_SEC2015",20.4206,21.33496,"ISSP",10,20.87778
"17","HA1501","SAMOA","American Samoa","Tutuila","TUT","Forereef","Deep","2015","2015-03-28 00:00:00",0,8600,"TUT-01751","BDS",2,10,1,2.5,NA,438671,"ISSP","Encrusting (mounding)",54,20,0,"","",0,"","","","",0,"BLE","","",100,NA,NA,4,NA,NA,"ISSP","Scleractinia","Isopora sp",-14.27684,-170.5447,"TUT_AUNUU_B","2015","BEN_SEC2015",20.4206,21.33496,"ISSP",10,20.87778
"18","HA1501","SAMOA","American Samoa","Tutuila","TUT","Forereef","Deep","2015","2015-03-28 00:00:00",0,8600,"TUT-01751","BDS",2,10,1,2.5,NA,438674,"ISSP","Plating",20,0,0,"","",0,"","","","",0,"TIN","","",1,NA,NA,NA,NA,NA,"ISSP","Scleractinia","Isopora sp",-14.27684,-170.5447,"TUT_AUNUU_B","2015","BEN_SEC2015",20.4206,21.33496,"ISSP",10,20.87778
"19","HA1501","SAMOA","American Samoa","Tutuila","TUT","Forereef","Deep","2015","2015-03-28 00:00:00",0,8600,"TUT-01751","BDS",2,10,1,2.5,NA,438675,"ISSP","Plating",20,0,0,"","",0,"","","","",0,"BLE","","",20,NA,NA,3,NA,NA,"ISSP","Scleractinia","Isopora sp",-14.27684,-170.5447,"TUT_AUNUU_B","2015","BEN_SEC2015",20.4206,21.33496,"ISSP",10,20.87778
"20","HA1501","SAMOA","American Samoa","Tutuila","TUT","Forereef","Deep","2015","2015-03-28 00:00:00",0,8600,"TUT-01751","BDS",2,10,1,2.5,NA,438676,"ISSP","Plating",19,0,0,"","",0,"","","","",0,"TIN","","",1,NA,NA,NA,NA,NA,"ISSP","Scleractinia","Isopora sp",-14.27684,-170.5447,"TUT_AUNUU_B","2015","BEN_SEC2015",20.4206,21.33496,"ISSP",10,20.87778
"21","HA1501","SAMOA","American Samoa","Tutuila","TUT","Forereef","Deep","2015","2015-03-28 00:00:00",0,8600,"TUT-01751","BVA",2,15,1,2.5,NA,438428,"ISSP","Encrusting (mounding)",59,40,0,"","",0,"","","","",0,"NDZ","","",NA,NA,NA,NA,NA,NA,"ISSP","Scleractinia","Isopora sp",-14.27684,-170.5447,"TUT_AUNUU_B","2015","BEN_SEC2015",20.4206,21.33496,"ISSP",10,20.87778
"22","HA1501","SAMOA","American Samoa","Tutuila","TUT","Forereef","Deep","2015","2015-03-28 00:00:00",0,8600,"TUT-01751","BVA",2,15,1,2.5,NA,438434,"ISSP","Plating",47,25,0,"","",0,"","","","",0,"NDZ","","",NA,NA,NA,NA,NA,NA,"ISSP","Scleractinia","Isopora sp",-14.27684,-170.5447,"TUT_AUNUU_B","2015","BEN_SEC2015",20.4206,21.33496,"ISSP",10,20.87778
"23","HA1501","SAMOA","American Samoa","Tutuila","TUT","Forereef","Deep","2015","2015-03-28 00:00:00",0,8600,"TUT-01751","BVA",2,15,1,2.5,NA,438441,"ISSP","Encrusting (mounding)",7,0,0,"","",0,"","","","",0,"NDZ","","",NA,NA,NA,NA,NA,NA,"ISSP","Scleractinia","Isopora sp",-14.27684,-170.5447,"TUT_AUNUU_B","2015","BEN_SEC2015",20.4206,21.33496,"ISSP",10,20.87778
"24","HA1501","SAMOA","American Samoa","Tutuila","TUT","Forereef","Mid","2015","2015-03-29 00:00:00",0,8621,"TUT-01785","BDS",1,5,1,2.5,NA,438844,"ISSP","Encrusting (mounding)",21,0,0,"","",0,"","","","",0,"NDZ","","",NA,NA,NA,NA,NA,NA,"ISSP","Scleractinia","Isopora sp",-14.27784,-170.545,"TUT_AUNUU_B","2015","BEN_SEC2015",16.4584,17.37275,"ISSP",10,16.915575
"25","HA1501","SAMOA","American Samoa","Tutuila","TUT","Forereef","Mid","2015","2015-03-29 00:00:00",0,8621,"TUT-01785","BDS",1,5,1,2.5,NA,438849,"ISSP","Encrusting (mounding)",10,0,0,"","",0,"","","","",0,"NDZ","","",NA,NA,NA,NA,NA,NA,"ISSP","Scleractinia","Isopora sp",-14.27784,-170.545,"TUT_AUNUU_B","2015","BEN_SEC2015",16.4584,17.37275,"ISSP",10,16.915575
"26","HA1501","SAMOA","American Samoa","Tutuila","TUT","Forereef","Mid","2015","2015-03-29 00:00:00",0,8621,"TUT-01785","BDS",1,15,1,2.5,NA,438879,"ISSP","Encrusting (mounding)",15,0,0,"","",0,"","","","",0,"NDZ","","",NA,NA,NA,NA,NA,NA,"ISSP","Scleractinia","Isopora sp",-14.27784,-170.545,"TUT_AUNUU_B","2015","BEN_SEC2015",16.4584,17.37275,"ISSP",10,16.915575
"27","HA1501","SAMOA","American Samoa","Tutuila","TUT","Forereef","Mid","2015","2015-03-29 00:00:00",0,8621,"TUT-01785","BVA",1,0,1,2.5,NA,439916,"ISSP","Encrusting (mounding)",47,10,0,"","",0,"","","","",0,"NDZ","","",NA,NA,NA,NA,NA,NA,"ISSP","Scleractinia","Isopora sp",-14.27784,-170.545,"TUT_AUNUU_B","2015","BEN_SEC2015",16.4584,17.37275,"ISSP",10,16.915575
"28","HA1501","SAMOA","American Samoa","Tutuila","TUT","Forereef","Mid","2015","2015-03-29 00:00:00",0,8621,"TUT-01785","BVA",1,0,1,2.5,NA,440007,"ISSP","Encrusting (mounding)",26,5,0,"","",0,"","","","",0,"NDZ","","",NA,NA,NA,NA,NA,NA,"ISSP","Scleractinia","Isopora sp",-14.27784,-170.545,"TUT_AUNUU_B","2015","BEN_SEC2015",16.4584,17.37275,"ISSP",10,16.915575
"29","HA1501","SAMOA","American Samoa","Tutuila","TUT","Forereef","Mid","2015","2015-03-29 00:00:00",0,8621,"TUT-01785","BVA",1,0,1,2.5,NA,440029,"ISSP","Plating",15,0,0,"","",0,"","","","",0,"NDZ","","",NA,NA,NA,NA,NA,NA,"ISSP","Scleractinia","Isopora sp",-14.27784,-170.545,"TUT_AUNUU_B","2015","BEN_SEC2015",16.4584,17.37275,"ISSP",10,16.915575
"30","HA1501","SAMOA","American Samoa","Tutuila","TUT","Forereef","Mid","2015","2015-03-29 00:00:00",0,8621,"TUT-01785","BVA",1,0,1,2.5,NA,440030,"ISSP","Plating",7,0,0,"","",0,"","","","",0,"NDZ","","",NA,NA,NA,NA,NA,NA,"ISSP","Scleractinia","Isopora sp",-14.27784,-170.545,"TUT_AUNUU_B","2015","BEN_SEC2015",16.4584,17.37275,"ISSP",10,16.915575
"31","HA1501","SAMOA","American Samoa","Tutuila","TUT","Forereef","Mid","2015","2015-03-29 00:00:00",0,8621,"TUT-01785","BVA",1,10,1,2.5,NA,440063,"ISSP","Encrusting (mounding)",48,50,0,"","",0,"","","","",0,"BLE","","",30,NA,NA,4,NA,NA,"ISSP","Scleractinia","Isopora sp",-14.27784,-170.545,"TUT_AUNUU_B","2015","BEN_SEC2015",16.4584,17.37275,"ISSP",10,16.915575
"32","HA1501","SAMOA","American Samoa","Tutuila","TUT","Forereef","Mid","2015","2015-03-29 00:00:00",0,8621,"TUT-01785","BVA",1,10,1,2.5,NA,440064,"ISSP","Encrusting (mounding)",6,0,0,"","",0,"","","","",0,"BLE","","",10,NA,NA,3,NA,NA,"ISSP","Scleractinia","Isopora sp",-14.27784,-170.545,"TUT_AUNUU_B","2015","BEN_SEC2015",16.4584,17.37275,"ISSP",10,16.915575
"33","HA1501","SAMOA","American Samoa","Tutuila","TUT","Forereef","Mid","2015","2015-03-29 00:00:00",0,8621,"TUT-01785","BVA",1,10,1,2.5,NA,440072,"ISSP","Encrusting (mounding)",29,10,0,"","",0,"","","","",0,"NDZ","","",NA,NA,NA,NA,NA,NA,"ISSP","Scleractinia","Isopora sp",-14.27784,-170.545,"TUT_AUNUU_B","2015","BEN_SEC2015",16.4584,17.37275,"ISSP",10,16.915575
"34","HA1501","SAMOA","American Samoa","Tutuila","TUT","Forereef","Mid","2015","2015-03-28 00:00:00",0,8599,"TUT-01795","BDS",1,10,1,2.5,NA,438577,"ISSP","Plating",42,10,0,"","",0,"","","","",0,"TIN","","",2,NA,NA,NA,NA,NA,"ISSP","Scleractinia","Isopora sp",-14.27577,-170.5465,"TUT_AUNUU_B","2015","BEN_SEC2015",16.15361,17.67754,"ISSP",10,16.915575
"35","HA1501","SAMOA","American Samoa","Tutuila","TUT","Forereef","Mid","2015","2015-03-28 00:00:00",0,8599,"TUT-01795","BDS",1,10,1,2.5,NA,438578,"ISSP","Plating",16,0,0,"","",0,"","","","",0,"TIN","","",1,NA,NA,NA,NA,NA,"ISSP","Scleractinia","Isopora sp",-14.27577,-170.5465,"TUT_AUNUU_B","2015","BEN_SEC2015",16.15361,17.67754,"ISSP",10,16.915575
"36","HA1501","SAMOA","American Samoa","Tutuila","TUT","Forereef","Mid","2015","2015-03-28 00:00:00",0,8599,"TUT-01795","BVA",2,5,1,2.5,NA,438526,"ISSP","Encrusting (mounding)",11,0,0,"","",0,"","","","",0,"NDZ","","",NA,NA,NA,NA,NA,NA,"ISSP","Scleractinia","Isopora sp",-14.27577,-170.5465,"TUT_AUNUU_B","2015","BEN_SEC2015",16.15361,17.67754,"ISSP",10,16.915575
"37","HA1501","SAMOA","American Samoa","Tutuila","TUT","Forereef","Mid","2015","2015-03-28 00:00:00",0,8599,"TUT-01795","BVA",2,5,1,2.5,NA,438553,"ISSP","Encrusting (mounding)",22,15,0,"","",0,"","","","",0,"NDZ","","",NA,NA,NA,NA,NA,NA,"ISSP","Scleractinia","Isopora sp",-14.27577,-170.5465,"TUT_AUNUU_B","2015","BEN_SEC2015",16.15361,17.67754,"ISSP",10,16.915575
"38","HA1501","SAMOA","American Samoa","Tutuila","TUT","Forereef","Mid","2015","2015-03-28 00:00:00",0,8599,"TUT-01795","JDG",1,15,1,2.5,NA,438455,"ISSP","Encrusting (mounding)",15,0,0,"","",0,"","","","",0,"BLE","","",10,NA,NA,3,NA,NA,"ISSP","Scleractinia","Isopora sp",-14.27577,-170.5465,"TUT_AUNUU_B","2015","BEN_SEC2015",16.15361,17.67754,"ISSP",10,16.915575
"39","HA1501","SAMOA","American Samoa","Tutuila","TUT","Forereef","Mid","2015","2015-03-28 00:00:00",0,8599,"TUT-01795","JDG",1,15,1,2.5,NA,438463,"ISSP","Encrusting (mounding)",29,0,0,"","",0,"","","","",0,"BLE","","",20,NA,NA,2,NA,NA,"ISSP","Scleractinia","Isopora sp",-14.27577,-170.5465,"TUT_AUNUU_B","2015","BEN_SEC2015",16.15361,17.67754,"ISSP",10,16.915575
"40","HA1501","SAMOA","American Samoa","Tutuila","TUT","Forereef","Mid","2015","2015-03-28 00:00:00",0,8599,"TUT-01795","JDG",1,15,1,2.5,NA,438464,"ISSP","Encrusting (mounding)",12,0,0,"","",0,"","","","",0,"BLE","","",20,NA,NA,2,NA,NA,"ISSP","Scleractinia","Isopora sp",-14.27577,-170.5465,"TUT_AUNUU_B","2015","BEN_SEC2015",16.15361,17.67754,"ISSP",10,16.915575
"41","HA1501","SAMOA","American Samoa","Tutuila","TUT","Forereef","Mid","2015","2015-03-29 00:00:00",0,8631,"TUT-01855","MAR",2,15,1,2.5,NA,439289,"ISSP","Plating",20,5,0,"","",0,"","","","",0,"BLE","","",70,NA,NA,4,NA,NA,"ISSP","Scleractinia","Isopora sp",-14.28335,-170.5627,"TUT_NE_OPEN","2015","BEN_SEC2015",11.27705,14.02012,"ISSP",10,12.648585
"42","HA1501","SAMOA","American Samoa","Tutuila","TUT","Forereef","Mid","2015","2015-03-02 00:00:00",0,8186,"TUT-01858","FL",1,0,1,2.5,NA,415504,"ISSP","Encrusting (mounding)",26,10,0,"","",0,"","","","",0,"NDZ","","",NA,NA,NA,NA,NA,NA,"ISSP","Scleractinia","Isopora sp",-14.28371,-170.6284,"TUT_SE_OPEN","2015","BEN_SEC2015",13.71533,15.84883,"ISSP",10,14.78208
"43","HA1501","SAMOA","American Samoa","Tutuila","TUT","Forereef","Mid","2015","2015-03-02 00:00:00",0,8186,"TUT-01858","FL",1,0,1,2.5,NA,415514,"ISSP","Plating",25,20,0,"","",0,"","","","",0,"NDZ","","",NA,NA,NA,NA,NA,NA,"ISSP","Scleractinia","Isopora sp",-14.28371,-170.6284,"TUT_SE_OPEN","2015","BEN_SEC2015",13.71533,15.84883,"ISSP",10,14.78208
"44","HA1501","SAMOA","American Samoa","Tutuila","TUT","Forereef","Mid","2015","2015-03-29 00:00:00",0,8632,"TUT-01872","HB",1,10,1,2.5,NA,439826,"ISSP","Encrusting (mounding)",73,5,0,"","",0,"","","","",0,"BLE","","",95,NA,NA,3,NA,NA,"ISSP","Scleractinia","Isopora sp",-14.2862,-170.6001,"TUT_SE_OPEN","2015","BEN_SEC2015",14.02012,15.54404,"ISSP",10,14.78208
"45","HA1501","SAMOA","American Samoa","Tutuila","TUT","Forereef","Mid","2015","2015-03-29 00:00:00",0,8632,"TUT-01872","HB",2,0,1,2.5,NA,440099,"ISSP","Encrusting (mounding)",16,3,0,"","",0,"","","","",0,"BLE","","",97,NA,NA,4,NA,NA,"ISSP","Scleractinia","Isopora sp",-14.2862,-170.6001,"TUT_SE_OPEN","2015","BEN_SEC2015",14.02012,15.54404,"ISSP",10,14.78208
"46","HA1501","SAMOA","American Samoa","Tutuila","TUT","Forereef","Mid","2015","2015-03-29 00:00:00",0,8632,"TUT-01872","HB",2,0,1,2.5,NA,440101,"ISSP","Encrusting (mounding)",41,5,0,"","",0,"","","","",0,"BLE","","",95,NA,NA,4,NA,NA,"ISSP","Scleractinia","Isopora sp",-14.2862,-170.6001,"TUT_SE_OPEN","2015","BEN_SEC2015",14.02012,15.54404,"ISSP",10,14.78208
"47","HA1501","SAMOA","American Samoa","Tutuila","TUT","Forereef","Mid","2015","2015-03-29 00:00:00",0,8632,"TUT-01872","HB",2,0,1,2.5,NA,440103,"ISSP","Encrusting (mounding)",9,0,0,"","",0,"","","","",0,"NDZ","","",NA,NA,NA,NA,NA,NA,"ISSP","Scleractinia","Isopora sp",-14.2862,-170.6001,"TUT_SE_OPEN","2015","BEN_SEC2015",14.02012,15.54404,"ISSP",10,14.78208
"48","HA1501","SAMOA","American Samoa","Tutuila","TUT","Forereef","Mid","2015","2015-03-29 00:00:00",0,8632,"TUT-01872","HB",2,0,1,2.5,NA,440111,"ISSP","Encrusting (mounding)",5,20,0,"","",0,"","","","",0,"NDZ","","",NA,NA,NA,NA,NA,NA,"ISSP","Scleractinia","Isopora sp",-14.2862,-170.6001,"TUT_SE_OPEN","2015","BEN_SEC2015",14.02012,15.54404,"ISSP",10,14.78208
"49","HA1501","SAMOA","American Samoa","Tutuila","TUT","Forereef","Mid","2015","2015-03-29 00:00:00",0,8632,"TUT-01872","HB",2,0,1,2.5,NA,440119,"ISSP","Encrusting (mounding)",8,10,0,"","",0,"","","","",0,"BLE","","",90,NA,NA,3,NA,NA,"ISSP","Scleractinia","Isopora sp",-14.2862,-170.6001,"TUT_SE_OPEN","2015","BEN_SEC2015",14.02012,15.54404,"ISSP",10,14.78208
"50","HA1501","SAMOA","American Samoa","Tutuila","TUT","Forereef","Mid","2015","2015-03-29 00:00:00",0,8632,"TUT-01872","HB",2,0,1,2.5,NA,440122,"ISSP","Encrusting (mounding)",27,3,0,"","",0,"","","","",0,"NDZ","","",NA,NA,NA,NA,NA,NA,"ISSP","Scleractinia","Isopora sp",-14.2862,-170.6001,"TUT_SE_OPEN","2015","BEN_SEC2015",14.02012,15.54404,"ISSP",10,14.78208
"51","HA1501","SAMOA","American Samoa","Tutuila","TUT","Forereef","Mid","2015","2015-03-29 00:00:00",0,8632,"TUT-01872","HB",2,0,1,2.5,NA,440124,"ISSP","Encrusting (mounding)",28,0,0,"","",0,"","","","",0,"NDZ","","",NA,NA,NA,NA,NA,NA,"ISSP","Scleractinia","Isopora sp",-14.2862,-170.6001,"TUT_SE_OPEN","2015","BEN_SEC2015",14.02012,15.54404,"ISSP",10,14.78208
"52","HA1501","SAMOA","American Samoa","Tutuila","TUT","Forereef","Mid","2015","2015-03-29 00:00:00",0,8632,"TUT-01872","HB",2,0,1,2.5,NA,440125,"ISSP","Encrusting (mounding)",26,0,0,"","",0,"","","","",0,"NDZ","","",NA,NA,NA,NA,NA,NA,"ISSP","Scleractinia","Isopora sp",-14.2862,-170.6001,"TUT_SE_OPEN","2015","BEN_SEC2015",14.02012,15.54404,"ISSP",10,14.78208
"53","HA1501","SAMOA","American Samoa","Tutuila","TUT","Forereef","Mid","2015","2015-03-29 00:00:00",0,8632,"TUT-01872","HB",2,0,1,2.5,NA,440140,"ISSP","Encrusting (mounding)",9,0,0,"","",0,"","","","",0,"NDZ","","",NA,NA,NA,NA,NA,NA,"ISSP","Scleractinia","Isopora sp",-14.2862,-170.6001,"TUT_SE_OPEN","2015","BEN_SEC2015",14.02012,15.54404,"ISSP",10,14.78208
"54","HA1501","SAMOA","American Samoa","Tutuila","TUT","Forereef","Mid","2015","2015-03-29 00:00:00",0,8632,"TUT-01872","JDG",1,5,1,2.5,NA,440818,"ISSP","Encrusting (mounding)",14,2,0,"","",0,"","","","",0,"NDZ","","",NA,NA,NA,NA,NA,NA,"ISSP","Scleractinia","Isopora sp",-14.2862,-170.6001,"TUT_SE_OPEN","2015","BEN_SEC2015",14.02012,15.54404,"ISSP",10,14.78208
"55","HA1501","SAMOA","American Samoa","Tutuila","TUT","Forereef","Mid","2015","2015-03-29 00:00:00",0,8632,"TUT-01872","JDG",1,5,1,2.5,NA,440838,"ISSP","Encrusting (mounding)",37,5,0,"","",0,"","","","",0,"BLE","","",50,NA,NA,2,NA,NA,"ISSP","Scleractinia","Isopora sp",-14.2862,-170.6001,"TUT_SE_OPEN","2015","BEN_SEC2015",14.02012,15.54404,"ISSP",10,14.78208
"56","HA1501","SAMOA","American Samoa","Tutuila","TUT","Forereef","Mid","2015","2015-03-29 00:00:00",0,8632,"TUT-01872","MAR",1,15,1,2.5,NA,439441,"ISSP","Encrusting (mounding)",13,1,0,"","",0,"","","","",0,"NDZ","","",NA,NA,NA,NA,NA,NA,"ISSP","Scleractinia","Isopora sp",-14.2862,-170.6001,"TUT_SE_OPEN","2015","BEN_SEC2015",14.02012,15.54404,"ISSP",10,14.78208
"57","HA1501","SAMOA","American Samoa","Tutuila","TUT","Forereef","Mid","2015","2015-03-29 00:00:00",0,8632,"TUT-01872","MAR",1,15,1,2.5,NA,439456,"ISSP","Encrusting (mounding)",40,3,0,"","",0,"","","","",0,"NDZ","","",NA,NA,NA,NA,NA,NA,"ISSP","Scleractinia","Isopora sp",-14.2862,-170.6001,"TUT_SE_OPEN","2015","BEN_SEC2015",14.02012,15.54404,"ISSP",10,14.78208
